,aid,coin,view,danmaku,reply,favorite,share,name
50,3927,685,-1,41170,1724,5373,207,
51,1587,685,11995,136,13,20,1,加拿大励志姐HIMEKA的不屈传说！(本视频内有奈奈 萌神 MAY'N）
52,11928,663,92303,2316,161,2074,562,Metro 海阔天空
53,3085,657,65630,2679,571,3414,40,【MAD】寝·逃·げでハレ晴レ！セーラーふく
54,2572,634,9768,60,6,80,2,【鏡音レン】ボクとアリスのワンダーランド
55,8805,617,175498,4772,618,4888,94,【萌度爆表的終極殺器】釘宮理惠版 恋愛サーキュレーション
56,2743,576,21592,120,10,58,0,恶魔城 屎命召唤现代战争2 马里奥 塞尔达 以及……
57,13196,566,685276,20483,342,531,114,
58,13256,557,303651,55376,956,2954,780,泰国奥特曼，5个奥特曼兄弟来客串
59,16979,546,167997,3760,909,5372,300,
60,4903,527,821974,18608,942,1626,359,【4月】会长是女仆大人！ 第1话【极影】 补档#
61,349,519,165327,805,3965,3229,71,[人生的导师松冈修造]東方修夢造
62,1540,501,11707,83,9,146,9,
63,1799,492,99749,1867,812,2330,109,【小缘X千石撫子】恋愛サーキュレーション
64,12104,487,140929,2431,459,3051,205,新世纪福音战士 光头葛炮
65,17800,481,422677,31146,1143,4572,135,【澄空】我家有个狐仙大人24話全
66,2,480,-1,1866,4888,1604,1292,字幕君交流场所
67,2313,478,170131,14135,1921,5424,85,【2010《春节X圣战》--大拜年】
68,3107,476,-1,5220,3626,11471,131,
69,637,475,196212,2216,1649,6405,108,【東方】PAD先進国紅魔館【ＰＶ風】【GIF跟风测试】
70,2761,464,35641,76,8,46,3,跟赏月叔看高达~唱塞牙~
71,2543,463,41554,53,2,20,1,【渣技术】俺の嫁オフライン（体験版）
72,4450,444,167591,3174,739,4173,145,【VAN樣】ローリン♂ダーク
73,6487,423,134856,2958,740,4210,321,（本家）亚拉那一卡
74,5728,422,205318,5791,752,5678,40,【U.N.】～Who Killed U.N.Owen～【東方ヴォーカル】
75,2760,413,19652,88,7,85,3,【AMV】微猎奇-古典音乐之旅 Classical Juice MEP-Arczi
76,15666,409,346721,21689,592,2709,97,
77,835,396,270576,40267,215,2599,10,
78,17008,392,72408,87114,479,7877,84,【合集】笨蛋测验召唤兽（第一季 1 -13 全）
79,1311,389,330916,7459,428,1972,105,
80,13373,382,18737,2215,747,2111,15,七月三日 小缘夏日专场第一弹
81,2601,382,39104,919,63,174,19,【喷神james】寻剑
82,17904,381,23457,4008,497,4547,177,【vip店長】杠杠杠杠咲自摸【鬼畜洗脑伪声】
83,15468,379,570255,16766,251,326,66,
84,2742,378,41677,16,2,34,1,大家都来放焰火
85,12450,377,316748,3819,3112,4946,149,搬运__【Melendiz — Fuck You All】
86,11481,371,35108,1128,334,2043,107,【东方手书PV】End of Daylight
87,1689,370,6983,35,4,27,3,デュラララ!! ED 「Trust Me」 MV
88,11242,363,69043,870,327,2771,149,【幸运星】こなた達でアッーウッウッイネイネ
89,20,361,157311,3833,1788,3347,104,【初音ミク(40mP)】巨大少女
90,897,361,68062,3058,583,2434,28,【MAD】とある当麻の英雄目録
91,836,359,15778,202,45,13,0,super contra(超级魂斗罗)
92,12,357,495352,1392,2501,3743,310,音乐与弹幕同步 3.⑤
93,16805,357,214158,12966,193,263,49,
94,799,356,73273,2404,235,3571,60,【東方】不一样的Bad Apple!!
95,1189,354,582455,11280,740,1847,183,【一月】笨蛋测验召唤兽 第1话【HKG】
96,12591,350,206965,4251,269,3687,86,「鋼の錬金術師FA」OP/ED合集【完结纪念】
97,3074,347,-1,3641,870,4976,590,
98,2762,347,10389,10,18,37,0,【初音ミク】 キミと、マボロシ。
99,4634,337,39297,683,315,1496,27,狼与收获祭与酒
100,2722,337,20133,131,13,87,4,【東方Vocal】蛙石
101,2557,334,178063,4874,2177,6434,199,
102,842,334,92859,977,300,2095,182,【天空之城】追随着你【800人合唱】
103,1552,334,13905,786,60,207,10,天朝原创猎奇教育片《黛子小姐》
104,351,329,51048,1532,430,2260,37,[治愈]感人的琪露诺无字短漫
105,47,327,93457,1325,808,1328,65,汤姆的钢琴演奏-亡き王女の為のセプテット
106,3907,322,54610,1078,386,2204,45,【东方中文Vocal神曲】晨星寥宿 風祝神頌
107,15239,318,188734,18657,292,3853,15,【极影&SOSG】狼与香辛料 第二季【720P】
108,12826,313,385670,50808,1141,1854,13,【KFC】steins;gate 中文影像版
109,5048,312,60580,12507,1410,1170,161,
110,2740,311,18904,235,36,82,14,【新之助】恋愛サーキュレーション
111,17718,301,334896,11249,746,3330,276,【手办】史上最强手办
112,2747,299,18192,92,22,52,14,
113,24,296,196740,5105,855,2897,124,多那路多信仰风化曲
114,5344,292,-1,9643,239,5101,16,
115,2967,292,15923,457,81,244,0,鳥肌+華麗+壯大に感②壯麗風五十分鐘東方アレンジ集
116,3068,288,8642,17,7,54,1,【初音ミク】CROSS【PV付】
117,11425,287,-1,11680,2866,7510,1244,
118,16942,282,80752,130,384,3851,196,【初音ミク】Nyanyanyanyanyanyanya!
119,1559,280,13446,74,15,5,0,
120,15795,279,38034,476,244,1539,62,【東方PV】紫雨UNITED 小愛突撃編
121,1879,275,117569,6320,1845,3965,99,【東方手書】人生＼(＾o＾)／完蛋了【Full】
122,17220,274,77221,1385,327,2054,71,【泪腺崩坏】重要的事物就在眼睑之下闪烁（梦日记）
123,350,270,73184,2367,328,2289,26,【神PV】「初音ミクの消失」【by hombre】
124,1208,267,103786,3269,114,1614,108,
125,13301,266,161260,8747,486,2790,22,【神MAD集】魔法禁书目录全民K歌会【口型同步400%】
126,3042,266,-1,78,17,69,6,
127,6528,262,970162,21569,548,13920,335,
128,10386,257,103766,4747,397,1860,40,【入站神曲】とある科学の超電磁砲 LEVEL5 -judgelight-
129,5317,254,-1,4235,557,3597,189,
130,16590,253,82207,1225,262,2874,81,【歌ってみた】ハロ／ハワユ【鹿乃】
131,9118,253,87054,2301,678,1649,32,【轻音小丑】GO!GO!蓝蓝路！四天王最后一击！
132,3536,252,-1,15061,160,5480,97,
133,26,252,86121,2166,574,1800,124,蓝蓝路的土耳其进行曲
134,4437,251,363279,10022,293,2109,188,"世界上最难的两个马里奥一命通,猫里奥其实是菜鸟玩的!"
135,1579,250,413044,6823,700,4207,245,这是肥音你懂吗
136,4476,250,-1,18069,752,4134,122,
137,2546,249,21244,559,83,394,8,【绘画教室】【厚涂】圣·白莲
138,662,247,72198,1583,506,3230,136,「裏表ラバーズ」【PV】
139,1076,247,70147,1253,208,1394,95,【新世纪福音战士主题曲粤语版】
140,10717,245,2464,1312,197,2210,22,【泪腺崩坏】ダブルスカーレット
141,15836,243,49477,1216,276,1776,393,鬼畜：牛&牛&牛
142,10702,242,88632,2853,301,1889,17,【鬼畜】フレンズ·オブ·かがみ【幸运星】
143,5908,240,231786,14918,420,2845,134,BLASSREITER 720全集
144,5813,237,61196,946,482,1924,21,【東方Vocal】被破壞的護身符
145,7680,237,-1,869,518,1578,62,
146,1299,236,115688,2788,1249,432,24,量产型⑨缘生产手册
147,3101,235,17316,169,43,83,2,(画师向)うわばみ描いてみた
148,2479,234,127560,4411,1162,3504,46,【东方MAD 泪腺崩坏】灵梦和樱花的季节
149,13856,233,119862,1811,383,3516,45,[DECO*27]【GUMI】モザイクロール【PV付】
